Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Position,Skill moves,Age,Nation,League,Team,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
6884,Théo Pellenard,68,50,37,64,65,69,69,CB,3,30,France,Ligue 1 McDonald's,AJ Auxerre,,,,,
6884,Henrique Araújo,68,70,66,56,65,26,70,ST,2,22,Portugal,Liga Portugal,Arouca,,,,,
6884,Elías Pereyra,68,80,32,54,65,63,60,LB,2,25,Argentina,Primera División,Godoy Cruz,,,,,
6884,Kevin Pérez,68,80,57,62,70,45,52,CAM,3,27,Colombia,Sudamericana,Deportes Tolima,,,,,
6884,César Pérez,68,69,59,60,69,52,62,CM,2,21,Chile,Sudamericana,Defensa,,,,,
6884,Dino Perić,68,53,35,51,58,67,75,CB,2,30,Croatia,Liga Hrvatska,Dinamo Zagreb,,,,,
6884,Mauro Perković,68,76,30,52,61,67,75,CB,2,21,Croatia,Liga Hrvatska,Dinamo Zagreb,,,,,
6884,Aleks Petkov,68,60,37,42,47,67,77,CB,2,25,Bulgaria,PKO BP Ekstraklasa,Śląsk Wrocław,,,,,
6884,Lukas Petkov,68,75,66,65,71,56,63,CM,3,23,Bulgaria,Bundesliga 2,SV Elversberg,,,,,
6884,Dimitri Petratos,68,64,70,68,68,49,71,ST,3,31,Australia,ISL,Mohun Bagan SG,,,,,
6884,Raoul Petretta,68,78,36,62,68,63,71,LB,3,27,Italy,MLS,Toronto FC,,,,,
6884,Jacopo Petriccione,68,46,51,69,68,55,62,CM,3,29,Italy,Serie BKT,Catanzaro,,,,,
6884,Radosav Petrović,68,35,54,59,58,68,76,CDM,2,35,Serbia,Liga Cyprus,APOEL FC,,,,,
6884,Leonel Picco,68,54,58,61,63,65,73,CDM,2,25,Argentina,Primera División,Platense,,,,,
6884,Carl Piergianni,68,39,31,45,46,67,85,CB,2,32,England,EFL League One,Stevenage,,,,,
6884,Santiago Pierotti,68,67,67,65,71,61,67,RW,3,23,Argentina,Serie A Enilive,Lecce,,,,,
6884,Balthazar Pierret,68,66,52,59,64,68,70,CDM,2,24,France,Serie A Enilive,Lecce,,,,,
6884,Iván Pillud,68,59,58,65,63,69,70,RB,2,38,Argentina,Primera División,Central Córdoba,,,,,
6884,César Pinares,68,67,64,70,70,52,69,CAM,3,33,Chile,Sudamericana,Uni. Católica,,,,,
6884,Donovan Pines,68,72,22,39,46,68,77,CB,2,26,United States,EFL League One,Barnsley,,,,,
6884,Guilherme Ramos,68,60,33,46,50,67,78,CB,2,27,Portugal,Bundesliga 2,Hamburger SV,,,,,
6884,František Plach,68,66,66,65,66,33,67,GK,1,32,Slovakia,PKO BP Ekstraklasa,Piast Gliwice,66.0,66.0,65.0,67.0,66.0
6884,Przemysław Płacheta,68,91,60,60,69,39,55,LM,3,26,Poland,EFL Championship,Oxford United,,,,,
6884,Tin Plavotić,68,40,29,46,42,67,77,CB,2,27,Croatia,Ö. Bundesliga,FK Austria Wien,,,,,
6884,Pleguezuelo,68,78,35,56,67,67,67,CB,2,27,Spain,EFL Championship,Plymouth Argyle,,,,,
6884,Dennis Politic,68,78,65,62,72,31,71,LW,3,24,Romania,SUPERLIGA,FC Dinamo 1948,,,,,
6884,Julian Pollersbeck,68,69,64,68,68,37,68,GK,1,30,Germany,Bundesliga 2,Jahn Regensburg,69.0,64.0,68.0,68.0,68.0
6884,Mattie Pollock,68,57,23,43,46,67,78,CB,2,22,England,EFL Championship,Watford,,,,,
6884,Paxton Pomykal,68,73,57,70,72,61,67,CM,2,24,United States,MLS,FC Dallas,,,,,
6884,Alexandru Pop,68,81,68,57,68,22,68,ST,3,24,Romania,SUPERLIGA,SC Oțelul Galați,,,,,
6884,Mihai Popa,68,66,66,62,72,41,63,GK,1,23,Romania,SUPERLIGA,CFR 1907 Cluj,66.0,66.0,62.0,63.0,72.0
6884,Laurențiu Popescu,68,68,67,67,69,31,67,GK,1,27,Romania,SUPERLIGA,Univ. Craiova,68.0,67.0,67.0,67.0,69.0
6884,Janio Pósito,68,62,70,50,64,22,52,ST,2,34,Peru,Sudamericana,ADT,,,,,
6884,Nicolai Poulsen,68,59,54,68,70,65,79,CM,2,31,Denmark,3F Superliga,AGF,,,,,
6884,Tomás Pozzo,68,77,61,66,72,45,53,RW,3,23,Argentina,Primera División,Godoy Cruz,,,,,
6884,Gianluca Prestianni,68,87,60,57,76,35,46,RM,4,18,Argentina,Liga Portugal,SL Benfica,,,,,
6884,Maxence Prévot,68,68,69,68,67,36,68,GK,1,27,France,1A Pro League,OH Leuven,68.0,69.0,68.0,68.0,67.0
6884,Alex Pritchard,68,59,67,69,72,52,45,CAM,3,31,England,Trendyol Süper Lig,Sivasspor,,,,,
6884,Kai Pröger,68,82,70,56,74,38,73,ST,3,32,Germany,Bundesliga 2,Jahn Regensburg,,,,,
6884,Martín Prost,68,65,68,56,66,31,65,ST,3,36,Argentina,Sudamericana,Nacional Potosí,,,,,
6884,Ruben Providence,68,83,63,57,73,29,56,LM,4,23,France,Eredivisie,Almere City FC,,,,,
6884,Nicolás Quagliata,68,68,60,68,73,38,42,CAM,4,25,Uruguay,Primera División,Central Córdoba,,,,,
6884,Daniel Queipo,68,81,65,62,68,30,47,LM,3,22,Spain,LALIGA HYPERMOTION,R. Sporting,,,,,
6884,Rubert Quijada,68,63,33,55,50,69,71,CB,2,35,Venezuela,Libertadores,Caracas FC,,,,,
6884,Álvaro Quiroga,68,69,57,69,65,62,66,CDM,3,29,Bolivia,Libertadores,The Strongest,,,,,
6884,Bogdan Racovițan,68,75,32,38,44,68,77,CB,2,24,Romania,PKO BP Ekstraklasa,Raków,,,,,
6884,Joe Rafferty,68,65,38,61,63,65,72,RB,2,30,Republic of Ireland,EFL League One,Rotherham Utd,,,,,
6884,Michał Rakoczy,68,77,65,65,72,41,62,CAM,3,22,Poland,PKO BP Ekstraklasa,Cracovia,,,,,
6884,Nicolás Ramírez,68,57,36,50,58,69,69,CB,2,27,Chile,Libertadores,Barcelona SC,,,,,
6884,Eric Ramírez,68,82,67,60,66,31,57,ST,3,27,Argentina,Primera División,Huracán,,,,,
6884,Christian Ramirez,68,60,68,55,65,30,73,ST,4,33,United States,MLS,Columbus Crew,,,,,
6884,Jiovany Ramos,68,57,33,56,54,68,72,CB,2,27,Panama,Libertadores,Alianza Lima,,,,,
6884,Adam Randell,68,76,62,66,70,65,71,CM,2,23,England,EFL Championship,Plymouth Argyle,,,,,
6884,Nicolai Rapp,68,54,42,55,59,69,72,CDM,2,27,Germany,Bundesliga 2,Karlsruher SC,,,,,
6884,Tobias Raschl,68,64,55,65,71,58,67,CM,3,24,Germany,Bundesliga 2,Kaiserslautern,,,,,
6884,Henrich Ravas,68,67,67,64,69,37,70,GK,1,27,Slovakia,PKO BP Ekstraklasa,Cracovia,67.0,67.0,64.0,70.0,69.0
6884,Christiaan Ravych,68,46,28,51,58,68,65,CB,2,22,Belgium,1A Pro League,Cercle Brugge,,,,,
6884,Kenny Prince Redondo,68,92,62,58,70,47,60,LM,3,30,Germany,Bundesliga 2,Kaiserslautern,,,,,
6884,Johannes Reichert,68,66,32,50,61,68,73,CB,2,33,Germany,Bundesliga 2,SSV Ulm 1846,,,,,
6884,Dominik Reimann,68,68,66,73,68,45,70,GK,1,27,Germany,Bundesliga 2,1. FC Magdeburg,68.0,66.0,73.0,70.0,68.0
6884,Ferro,68,52,42,54,59,68,73,CB,2,27,Portugal,Liga Portugal,Estrela Amadora,,,,,
6884,Erlend Dahl Reitan,68,79,47,58,65,62,74,RB,2,27,Norway,Eliteserien,Rosenborg BK,,,,,
6884,Nicolai Remberg,68,69,53,63,68,62,76,CM,2,24,Germany,Bundesliga,Holstein Kiel,,,,,
6884,Eric Remedi,68,42,49,59,61,66,80,CDM,2,29,Argentina,Libertadores,San Lorenzo,,,,,
6884,Andrés Reyes,68,72,33,40,47,67,79,CB,2,25,Colombia,MLS,Red Bulls,,,,,
6884,Jordan Rhodes,68,61,70,53,61,39,59,ST,2,34,Scotland,EFL League One,Blackpool,,,,,
6884,Brayan Riascos,68,80,67,62,66,36,76,ST,3,29,Colombia,CSL,Qingdao W. Coast,,,,,
6884,Clemens Riedel,68,54,28,48,56,69,68,CB,2,21,Germany,Bundesliga 2,SV Darmstadt 98,,,,,
6884,Andy Rinomhota,68,80,54,59,65,67,80,CDM,3,27,England,EFL Championship,Cardiff City,,,,,
6884,Renaud Ripart,68,64,67,66,68,64,80,RM,3,31,France,Ligue 2 BKT,ESTAC Troyes,,,,,
6884,Birk Risa,68,74,56,61,65,67,74,CB,3,26,Norway,MLS,New York City FC,,,,,
6884,Marvin Rittmüller,68,88,43,57,64,61,69,RB,2,25,Germany,Bundesliga 2,Braunschweig,,,,,
6884,Ciro Rius,68,69,61,67,70,57,60,RM,3,35,Argentina,Primera División,Platense,,,,,
6884,Rigoberto Rivas,68,79,62,63,69,34,56,LM,3,26,Honduras,Trendyol Süper Lig,Hatayspor,,,,,
6884,José Rivera,68,69,72,62,68,48,64,ST,4,27,Peru,Libertadores,Universitario,,,,,
6884,Harold Rivera,68,71,59,68,67,63,67,CDM,3,30,Colombia,Sudamericana,América de Cali,,,,,
6884,Tyler Roberts,68,70,64,63,72,38,67,CAM,3,25,Wales,EFL League One,Northampton,,,,,
6884,Thomas Robinet,68,71,67,62,67,34,71,ST,3,28,France,Eredivisie,Almere City FC,,,,,
6884,Carlos Robles,68,52,48,60,57,64,75,CDM,2,32,Colombia,Libertadores,Dep. Táchira,,,,,
6884,Paulo Henrique,68,71,50,64,62,65,70,LB,2,27,Portugal,Liga Portugal,Santa Clara,,,,,
6884,Thiago Rodrigues,68,67,62,69,68,27,68,GK,1,28,Brazil,Liga Portugal,Arouca,67.0,62.0,69.0,68.0,68.0
6884,Júlio Romão,68,59,44,57,70,64,81,CDM,3,26,Brazil,Liga Azerbaijan,Qarabağ FK,,,,,
6884,Ronaldo Tavares,68,77,66,46,57,26,78,ST,4,27,Portugal,K League 1,FC Seoul,,,,,
6884,Kevin Rodríguez,68,80,66,57,69,25,67,ST,4,24,Ecuador,1A Pro League,R. Union St.-G.,,,,,
6884,Valentín Rodríguez,68,79,58,63,71,63,67,LB,3,23,Uruguay,Primera División,Gimnasia,,,,,
6884,Lucas Rodríguez,68,75,55,64,67,64,67,LB,3,30,Argentina,Primera División,Instituto,,,,,
6884,Martín Rodríguez,68,81,61,66,70,43,60,LM,3,30,Chile,MLS,D.C. United,,,,,
6884,Salomón Rodríguez,68,60,68,56,63,31,68,ST,3,24,Uruguay,Primera División,Godoy Cruz,,,,,
6884,Andy,68,52,65,68,66,67,73,CM,2,34,Spain,LALIGA HYPERMOTION,FC Cartagena,,,,,
6884,Riki,68,71,65,66,72,56,60,CM,4,26,Spain,LALIGA HYPERMOTION,Albacete BP,,,,,
6884,Maximiliano Rodríguez Vejar,68,67,66,53,65,24,64,ST,2,24,Chile,Libertadores,Huachipato,,,,,
6884,Miguel Rodríguez,68,79,57,64,68,33,53,RM,3,21,Spain,Eredivisie,FC Utrecht,,,,,
6884,Žan Rogelj,68,79,51,63,68,58,64,RM,3,24,Slovenia,1A Pro League,Sp. Charleroi,,,,,
6884,Maximilian Rohr,68,59,52,60,60,67,73,CB,2,29,Germany,Bundesliga 2,SV Elversberg,,,,,
6884,Rodrigo Rojas,68,69,66,69,69,65,74,CM,3,36,Paraguay,Sudamericana,Sportivo Luqueño,,,,,
6884,Joao Rojas,68,75,58,66,73,32,70,CAM,3,35,Ecuador,Sudamericana,ADT,,,,,
6884,Joao Rojas,68,81,66,64,69,51,55,LM,4,27,Ecuador,Libertadores,Barcelona SC,,,,,
6884,Enzo Roldán,68,72,66,65,67,62,63,CM,3,23,Argentina,Primera División,Unión,,,,,
6884,Nicolás Romero,68,60,45,55,56,68,68,CB,2,20,Argentina,Primera División,Atlético Tucumán,,,,,
6884,Connor Ronan,68,67,65,70,71,54,47,CM,3,26,Republic of Ireland,MLS,Colorado Rapids,,,,,
6884,Sandro Cruz,68,80,33,60,63,63,64,LB,2,23,Angola,Liga Portugal,Gil Vicente,,,,,
6884,Michael Rose,68,70,39,58,60,68,73,CB,2,28,Scotland,EFL Championship,Stoke City,,,,,
6884,Carlos Ross,68,83,60,63,66,41,62,RW,3,33,Chile,Sudamericana,Sport Huancayo,,,,,
6884,Nicolás Rossi,68,64,67,56,70,22,69,GK,1,26,Uruguay,Sudamericana,S. Ameliano,64.0,67.0,56.0,69.0,70.0
6884,Bryan Rovira,68,55,54,61,60,68,79,CDM,2,27,Colombia,Sudamericana,Deportes Tolima,,,,,
6884,Donat Rrudhani,68,75,68,62,69,36,70,RM,3,25,Kosovo,CSSL,FC Luzern,,,,,
6884,Tobías Rubio,68,76,41,58,69,66,74,CB,2,20,Argentina,Sudamericana,Racing Club,,,,,
6884,Alex Rufer,68,64,58,66,66,63,78,CDM,3,28,New Zealand,A-League,Well. Phoenix,,,,,
6884,Víctor Ruiz,68,68,61,71,74,52,58,CM,4,30,Spain,CSSL,FC St. Gallen,,,,,
6884,Haibrany Ruíz Díaz,68,64,37,59,60,68,71,CB,2,32,Uruguay,Libertadores,Dep. Táchira,,,,,
6884,Patrick William,68,58,61,65,59,67,74,CB,2,27,Brazil,Liga Portugal,Rio Ave FC,,,,,
6884,Armando Sadiku,68,65,69,50,63,38,65,ST,3,33,Albania,ISL,FC Goa,,,,,
6884,Görkem Sağlam,68,71,63,67,70,59,66,CAM,3,26,Turkey,Trendyol Süper Lig,Hatayspor,,,,,
6884,José Sagredo,68,80,44,56,61,66,73,CB,3,30,Bolivia,Libertadores,Bolívar,,,,,
6884,Ömer Ali Şahiner,68,74,67,66,71,62,70,RB,3,32,Turkey,Trendyol Süper Lig,Başakşehir,,,,,
6884,Rafiki Saïd,68,80,65,59,73,24,49,LM,3,24,Netherlands,Ligue 2 BKT,ESTAC Troyes,,,,,
6884,Oliver Sail,68,75,69,50,69,49,61,GK,1,28,New Zealand,A-League,Perth Glory,75.0,69.0,50.0,61.0,69.0
6884,Víctor Salazar,68,86,54,59,66,62,70,RB,3,31,Argentina,Sudamericana,Olimpia,,,,,
6884,João Graça,68,67,57,68,70,64,66,CM,3,29,Portugal,Liga Portugal,Rio Ave FC,,,,,
6884,Eddie Salcedo,68,78,66,60,75,39,55,ST,4,22,Italy,Serie A Enilive,Lombardia FC,,,,,
6884,Saúl Salcedo,68,54,33,43,53,70,70,CB,2,27,Paraguay,Primera División,Newell's,,,,,
6884,Ronivaldo,68,72,71,54,66,22,65,ST,3,35,Brazil,Ö. Bundesliga,Blau-Weiss Linz,,,,,
6884,Raphael Sallinger,68,69,68,64,68,44,68,GK,1,28,Austria,Ö. Bundesliga,TSV Hartberg,69.0,68.0,64.0,68.0,68.0
6884,Brian Salvareschi,68,55,33,47,52,67,75,CB,2,25,Argentina,Primera División,Godoy Cruz,,,,,
6884,Piotr Samiec-Talar,68,84,63,64,66,31,61,RM,3,22,Poland,PKO BP Ekstraklasa,Śląsk Wrocław,,,,,
6884,Luciano Sánchez,68,76,56,62,70,65,70,LM,3,30,Argentina,Sudamericana,Argentinos Jrs.,,,,,
6884,Felipe Sánchez,68,61,40,50,55,68,74,CB,2,20,Argentina,Bundesliga 2,FC Schalke 04,,,,,
6884,Niklas Sandberg,68,70,64,65,67,51,67,RM,3,29,Norway,Eliteserien,Sarpsborg 08,,,,,
6884,Nazim Sangaré,68,80,47,60,68,64,67,RB,2,30,Turkey,Trendyol Süper Lig,Göztepe,,,,,
6884,Kaishū Sano,68,71,50,63,71,67,60,CM,2,23,Japan,Bundesliga,1. FSV Mainz 05,,,,,
6884,Kodai Sano,68,67,56,67,71,59,64,LM,3,20,Japan,Eredivisie,N.E.C. Nijmegen,,,,,
6884,Benjamin Santelli,68,85,64,54,67,26,67,ST,4,32,France,Ligue 2 BKT,AC Ajaccio,,,,,
6884,Simone Santoro,68,80,60,67,70,65,67,CM,3,24,Italy,Serie BKT,Modena,,,,,
6884,Pedro Amador,68,72,46,66,68,63,61,LB,3,25,Portugal,MLS,Atlanta United,,,,,
6884,Franco Saravia,68,66,64,61,70,20,67,GK,1,25,Peru,Libertadores,Alianza Lima,66.0,64.0,61.0,67.0,70.0
6884,Andrés Sarmiento,68,72,65,59,71,27,63,LM,3,26,Colombia,Liga Colombia,Atl. Nacional,,,,,
6884,Amin Sarr,68,85,65,58,68,25,67,ST,3,23,Sweden,Serie A Enilive,Hellas Verona,,,,,
6884,Nikolas Sattlberger,68,53,39,61,61,66,70,CDM,2,20,Austria,1A Pro League,KRC Genk,,,,,
6884,Fernando Saucedo,68,49,61,67,65,67,57,CM,3,34,Bolivia,Libertadores,Bolívar,,,,,
6884,Allahyar Sayyadmanesh,68,86,66,57,69,47,77,LM,3,23,Iran,1A Pro League,KVC Westerlo,,,,,
6884,Amine Sbaï,68,76,62,61,74,27,50,LW,3,23,Morocco,ROSHN Saudi League,Al Fateh,,,,,
6884,Dan Scarr,68,51,40,46,51,68,78,CB,2,29,England,EFL League One,Wrexham,,,,,
6884,Stefan Schimmer,68,64,68,48,63,29,72,ST,2,30,Germany,Bundesliga,Heidenheim,,,,,
6884,Lukas Schleimer,68,70,61,63,71,44,52,CAM,3,24,Germany,Bundesliga 2,1. FC Nürnberg,,,,,
6884,Alessandro Schöpf,68,69,65,67,69,61,69,CM,3,30,Austria,MLS,Whitecaps FC,,,,,
6884,Marvin Schulz,68,66,63,63,67,68,70,CB,2,29,Germany,Bundesliga,Holstein Kiel,,,,,
6884,Iñigo Piña,68,65,33,50,50,69,65,CB,2,29,Spain,LALIGA HYPERMOTION,CD Eldense,,,,,
6884,Rubin Seigers,68,66,25,57,51,69,67,CB,2,26,Belgium,1A Pro League,KVC Westerlo,,,,,
6884,Seo Jin Su,68,82,68,58,71,22,65,ST,3,23,Korea Republic,K League 1,Jeju United,,,,,
6884,Seo Min Woo,68,60,54,62,66,65,78,CM,2,26,Korea Republic,K League 1,Gimcheon Sangmu,,,,,
6884,Claudio Sepúlveda,68,59,58,60,58,63,69,CDM,3,32,Chile,Libertadores,Huachipato,,,,,
6884,Mats Seuntjens,68,75,68,68,67,51,71,ST,3,32,Holland,LALIGA HYPERMOTION,CD Castellón,,,,,
6884,Edgar Sevikyan,68,69,64,63,71,31,58,CAM,4,23,Armenia,Magyar Liga,Ferencvárosi TC,,,,,
6884,Josh Sheehan,68,79,57,69,71,62,64,CDM,3,29,Wales,EFL League One,Bolton,,,,,
6884,Maryan Shved,68,72,68,62,72,38,48,RM,3,27,Ukraine,Ukrayina Liha,Shakhtar Donetsk,,,,,
6884,Toby Sibbick,68,75,31,53,61,69,71,CB,2,25,England,EFL League One,Wigan Athletic,,,,,
6884,Carlo Sickinger,68,62,49,60,65,69,69,CB,2,27,Germany,Bundesliga 2,SV Elversberg,,,,,
6884,Igor Silva,68,74,53,62,71,64,63,RB,3,28,Brazil,Ligue 2 BKT,FC Lorient,,,,,
6884,Marco Matias,68,74,67,63,70,36,59,LM,4,35,Portugal,Liga Portugal,Farense,,,,,
6884,Jean Carlos,68,85,60,63,64,45,66,LM,3,28,Brazil,PKO BP Ekstraklasa,Raków,,,,,
6884,Roko Šimić,68,64,68,62,69,30,76,ST,3,21,Croatia,1A Pro League,KV Kortrijk,,,,,
6884,Danel Sinani,68,69,66,68,68,41,65,RM,3,27,Luxembourg,Bundesliga,FC St. Pauli,,,,,
6884,Doğukan Sinik,68,81,62,64,72,38,48,LM,4,25,Turkey,EFL Championship,Hull City,,,,,
6884,Tobias Sippel,68,67,65,74,67,47,66,GK,1,36,Germany,Bundesliga,M'gladbach,67.0,65.0,74.0,66.0,67.0
6884,Jonathan Sirois,68,69,65,55,69,34,69,GK,1,23,Canada,MLS,CF Montréal,69.0,65.0,55.0,69.0,69.0
6884,Abdoulaye Sissako,68,71,58,65,72,64,77,CM,2,26,France,1A Pro League,KV Kortrijk,,,,,
6884,Maxime Sivis,68,76,58,60,66,62,73,RB,2,26,France,SUPERLIGA,FC Dinamo 1948,,,,,
6884,Tom Slončík,68,67,67,67,70,42,59,CAM,3,19,Czech Republic,Česká Liga,Viktoria Plzeň,,,,,
6884,Gabriel Slonina,68,70,65,63,70,45,65,GK,1,20,United States,EFL League One,Barnsley,70.0,65.0,63.0,65.0,70.0
6884,Sam Smith,68,74,66,57,66,29,76,ST,2,26,England,EFL League One,Reading,,,,,
6884,Paul Smyth,68,90,59,60,71,40,55,RM,3,27,Northern Ireland,EFL Championship,QPR,,,,,
6884,Soberón,68,70,69,56,67,34,53,ST,3,27,Spain,LALIGA HYPERMOTION,Real Zaragoza,,,,,
6884,Dejan Sorgić,68,63,69,62,69,41,65,ST,3,34,Switzerland,CSSL,FC Sion,,,,,
6884,Gonzalo Sosa,68,53,71,45,62,21,67,ST,2,35,Argentina,Libertadores,Palestino,,,,,
6884,Eduardo Sosa,68,70,68,62,72,39,64,CAM,3,28,Venezuela,Sudamericana,Deportes Tolima,,,,,
6884,Guillermo Soto,68,77,27,61,66,63,62,RB,2,30,Chile,Sudamericana,Uni. Católica,,,,,
6884,Sambou Soumano,68,69,69,52,69,25,53,ST,3,23,Senegal,Ligue 2 BKT,FC Lorient,,,,,
6884,Issa Soumaré,68,82,64,59,68,19,61,LM,3,23,Senegal,Ligue 1 McDonald's,Havre AC,,,,,
6884,Furkan Soyalp,68,70,62,69,70,54,64,CM,3,29,Turkey,Trendyol Süper Lig,Gaziantep,,,,,
6884,Blair Spittal,68,75,67,68,70,55,67,CM,3,28,Scotland,Scottish Prem,Hearts,,,,,
6884,Dennis Srbeny,68,64,66,59,68,33,71,ST,3,30,Germany,Bundesliga 2,Fürth,,,,,
6884,Apostolos Stamatelopoulos,68,70,66,58,65,40,79,ST,2,25,Australia,Scottish Prem,Motherwell,,,,,
6884,Jozo Stanić,68,61,28,57,59,68,75,CB,2,25,Croatia,CSSL,FC St. Gallen,,,,,
6884,Lucas Stassin,68,69,72,63,68,34,57,ST,2,19,Belgium,Ligue 1 McDonald's,AS Saint-Étienne,,,,,
6884,Jed Steer,68,69,67,67,68,51,68,GK,1,31,England,EFL League One,Peterborough,69.0,67.0,67.0,68.0,68.0
6884,Enda Stevens,68,63,45,63,65,65,73,LB,3,34,Republic of Ireland,EFL Championship,Stoke City,,,,,
6884,Paul Stock,68,68,65,67,66,54,74,CAM,3,27,Germany,Bundesliga 2,SV Elversberg,,,,,
6884,Luca Strizzolo,68,71,66,56,64,32,74,ST,2,32,Italy,Serie BKT,Cosenza,,,,,
6884,Brad Stuver,68,68,68,66,69,47,68,GK,1,33,United States,MLS,Austin FC,68.0,68.0,66.0,68.0,69.0
6884,Boško Šutalo,68,60,44,56,62,70,67,CB,2,24,Croatia,1A Pro League,Standard Liège,,,,,
6884,Yuito Suzuki,68,73,68,63,72,48,52,CAM,3,22,Japan,3F Superliga,Brøndby IF,,,,,
6884,Sander Svendsen,68,82,64,62,70,36,66,RW,3,27,Norway,Eliteserien,Viking FK,,,,,
6884,Gábor Szalai,68,54,38,41,46,67,76,CB,2,24,Hungary,CSSL,Lausanne-Sport,,,,,
6884,Péter Szappanos,68,66,63,60,74,24,65,GK,1,33,Hungary,ROSHN Saudi League,Al Fateh,66.0,63.0,60.0,65.0,74.0
6884,Patryk Szysz,68,84,69,59,68,33,70,RM,3,26,Poland,Trendyol Süper Lig,Başakşehir,,,,,
6884,Waniss Taïbi,68,53,50,68,69,56,66,CM,3,22,France,Ligue 2 BKT,Rodez AF,,,,,
6884,Maksym Taloverov,68,58,38,54,57,67,75,CB,2,24,Ukraine,Ö. Bundesliga,LASK,,,,,
6884,Tang Xin,68,76,32,48,61,64,71,RB,2,33,China PR,CSL,Rongcheng FC,,,,,
6884,Tang Miao,68,80,42,63,67,60,78,RB,3,33,China PR,CSL,Rongcheng FC,,,,,
6884,George Tanner,68,71,43,55,65,65,67,RB,2,24,England,EFL Championship,Bristol City,,,,,
6884,Gonzalo Tapia,68,79,61,58,69,25,67,RM,3,22,Chile,Sudamericana,Uni. Católica,,,,,
6884,Yohan Tavares,68,55,41,52,56,68,72,CB,2,36,Portugal,Ligue 2 BKT,Laval MFC,,,,,
6884,Elayis Tavşan,68,79,64,62,71,24,55,RW,3,23,Holland,Serie BKT,Cesena,,,,,
6884,Jack Taylor,68,72,65,64,67,64,71,CDM,3,26,Republic of Ireland,Premier League,Ipswich,,,,,
6884,Duplexe Tchamba,68,69,35,45,54,67,78,CB,2,26,Cameroon,Liga Portugal,Casa Pia AC,,,,,
6884,Malik Tchokounté,68,40,69,54,64,24,79,ST,2,36,France,Ligue 2 BKT,Laval MFC,,,,,
6884,Bryan Teixeira,68,81,65,65,72,48,67,ST,4,24,Cape Verde Islands,Bundesliga 2,1. FC Magdeburg,,,,,
6884,Lino Tempelmann,68,76,56,64,70,66,68,CM,3,25,Germany,Bundesliga 2,FC Schalke 04,,,,,
6884,Robert Tesche,68,39,66,68,67,68,69,CM,2,37,Germany,3. Liga,VfL Osnabrück,,,,,
6884,Jamal Thiaré,68,87,65,56,69,22,72,ST,3,31,Senegal,MLS,Atlanta United,,,,,
6884,Stefán Teitur Thórdarson,68,60,65,64,65,62,69,CM,2,25,Iceland,EFL Championship,Preston,,,,,
6884,Konstantinos Thymianis,68,61,49,56,61,66,73,CDM,2,23,Greece,Hellas Liga,PAOK FC,,,,,
6884,Mohamed Tijani,68,66,37,53,58,65,76,CB,2,27,Benin,CSSL,Yverdon Sport FC,,,,,
6884,David Tijanić,68,75,66,66,73,49,67,CAM,4,27,Slovenia,Trendyol Süper Lig,Göztepe,,,,,
6884,Eoin Toal,68,50,31,43,53,67,77,CB,2,25,Northern Ireland,EFL League One,Bolton,,,,,
6884,Bastien Toma,68,64,63,66,72,63,67,CM,3,25,Switzerland,CSSL,FC St. Gallen,,,,,
6884,Guti,68,41,29,50,48,67,71,CB,2,33,Brazil,Sudamericana,Sport Huancayo,,,,,
6884,Jon Toral,68,70,61,69,67,50,47,CAM,3,29,Spain,ISL,Mumbai City FC,,,,,
6884,Tidjany Touré,68,83,61,60,71,26,62,LM,3,22,France,Liga Portugal,Gil Vicente,,,,,
6884,Mathys Tourraine,68,76,39,56,64,63,61,RB,2,23,Morocco,Ligue 2 BKT,Paris FC,,,,,
6884,Lisandru Tramoni,68,79,61,65,69,42,62,RM,3,21,France,Ligue 2 BKT,SC Bastia,,,,,
6884,Bénie Traoré,68,86,65,54,75,32,63,ST,3,21,Côte d'Ivoire,CSSL,FC Basel 1893,,,,,
6884,Wil Trapp,68,48,50,65,68,64,66,CDM,3,31,United States,MLS,Minnesota United,,,,,
6884,Arnór Ingvi Traustason,68,78,68,68,70,58,74,CM,3,31,Iceland,Allsvenskan,IFK Norrköping,,,,,
6884,Franco Troyansky,68,75,67,63,70,36,72,ST,3,27,Argentina,Primera División,Gimnasia,,,,,
6884,Kevin Tshiembe,68,74,40,53,56,66,78,CB,2,27,Denmark,3F Superliga,Brøndby IF,,,,,
6884,Turrientes,68,66,51,69,67,60,53,CM,2,22,Spain,LALIGA EA SPORTS,Real Sociedad,,,,,
6884,Marián Tvrdoň,68,69,67,68,71,30,70,GK,1,30,Slovakia,Česká Liga,Viktoria Plzeň,69.0,67.0,68.0,70.0,71.0
6884,Naci Ünüvar,68,64,61,68,73,37,45,LW,4,21,Turkey,LALIGA EA SPORTS,RCD Espanyol,,,,,
6884,Luciano Ursino,68,67,66,69,71,54,56,CM,4,35,Bolivia,Libertadores,The Strongest,,,,,
6884,Ramiro Vaca,68,74,68,67,71,26,40,CAM,3,25,Bolivia,Libertadores,Bolívar,,,,,
6884,Hakon Valdimarsson,68,68,65,64,69,20,68,GK,1,22,Iceland,Premier League,Brentford,68.0,65.0,64.0,68.0,69.0
